date,World Equities,World Bonds,US Investment Grade,US High Yield,Gold,Energy,Copper,median
2003-11-28,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.02829446115279876
2003-12-31,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0681158894819253
2004-01-30,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.0904223190299201
2004-02-27,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.1361208801014248
2004-03-31,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.06692221513928384
2004-04-30,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.04208398480799273
2004-05-31,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.005443794909356009
2004-06-30,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.022040494075896856
2004-07-30,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.029036150394192817
2004-08-31,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.027444343935239892
2004-09-30,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.09146423818669683
2004-10-29,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.07362502787084355
2004-11-30,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.25,0.026163580117691352
2004-12-31,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.020743920160690942
2005-01-31,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.052530364862570955
2005-02-28,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.004328797505364144
2005-03-31,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.001953137697793332
2005-04-29,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.0161273562029922
2005-05-31,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.0012383864565573381
2005-06-30,0.25,-0.25,-0.25,-0.25,0.25,-0.25,0.25,0.07787458953479108
2005-07-29,0.25,-0.25,-0.25,-0.25,0.25,-0.25,0.25,0.05715951783212696
2005-08-31,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.07001357016772666
2005-09-30,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.030444733061548723
2005-10-31,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.25,0.043834211778402694
2005-11-30,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.026271414497531224
2005-12-30,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.024241370995722735
2006-01-31,0.25,-0.25,-0.25,-0.25,0.25,-0.25,0.25,0.07961015311181403
2006-02-28,0.25,0.25,-0.25,-0.25,0.25,-0.25,-0.25,0.08369254724166392
2006-03-31,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.031226923075174353
2006-04-28,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.25,0.09704470910601502
2006-05-31,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.128218613122936
2006-06-30,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.1522647867252458
2006-07-31,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.11267361200629118
2006-08-31,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.05445663927964823
2006-09-29,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.25,0.03713462220509527
2006-10-31,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.0010546471973077753
2006-11-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.08593538595040268
2006-12-29,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.08701189370925336
2007-01-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.05468335210059526
2007-02-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.07641433978886158
2007-03-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.04491271863935674
2007-04-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.04676569145467927
2007-05-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.06700894948738466
2007-06-29,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.07408856395564546
2007-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.08718719531695032
2007-08-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.08326872082038797
2007-09-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.10167470286545714
2007-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.0843877047440152
2007-11-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.05618926313878701
2007-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.042404629641951457
2008-01-31,0.3333333333333333,0.3333333333333333,-0.2,-0.2,0.3333333333333333,-0.2,-0.2,-0.015675035754686484
2008-02-29,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.011265499344113684
2008-03-31,0.25,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.0012557447855441385
2008-04-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.013435907470936537
2008-05-30,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2,-0.012736179882264567
2008-06-30,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.047055258127636466
2008-07-31,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.09472420010590682
2008-08-29,0.25,0.25,0.25,-0.25,-0.25,-0.25,-0.25,0.10793155834208813
2008-09-30,0.25,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.1196090386320566
2008-10-31,0.25,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.0016831490013359445
2008-11-28,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.14692108584126456
2008-12-31,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.05233596220717553
2009-01-30,0.25,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.03954349565136068
2009-02-27,0.25,-0.25,0.25,0.25,-0.25,-0.25,-0.25,0.07453827592351517
2009-03-31,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.1948992514972242
2009-04-30,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.19873649546661504
2009-05-29,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.1545427757069363
2009-06-30,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.19293420255851515
2009-07-31,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.21463126714960795
2009-08-31,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.24385549591555442
2009-09-30,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2576942121937614
2009-10-30,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.24138755051875496
2009-11-30,-0.2,-0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2735719422195702
2009-12-31,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2104907725703622
2010-01-29,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.24736722563023092
2010-02-26,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.25347354229713737
2010-03-31,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.2200625348332132
2010-04-30,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.24024538095485162
2010-05-31,0.3333333333333333,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2,-0.21972809932872123
2010-06-30,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2584577604357272
2010-07-30,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2750743229343894
2010-08-31,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.29272682711504944
2010-09-30,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2842892214201894
2010-10-29,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.28048803067660805
2010-11-30,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.275578071491254
2010-12-31,0.3333333333333333,-0.2,-0.2,0.3333333333333333,0.3333333333333333,-0.2,-0.2,-0.2777593164572919
